subject,stim_name,ensemble,genre,target,mean_pearson
0001,classique_morceau1_duo_CoFl_theme1_stereo_Co,duo,classique,Co,0.018149040940863084
0001,classique_morceau1_duo_CoFl_theme1_stereo_Fl,duo,classique,Fl,-0.019931773124040462
0001,classique_morceau1_duo_CoOb_theme1_stereo_Co,duo,classique,Co,0.025955450891593474
0001,classique_morceau1_duo_CoOb_theme2_stereo_Ob,duo,classique,Ob,0.008799025302246978
0001,classique_morceau1_duo_FlOb_theme1_stereo_Fl,duo,classique,Fl,-0.010056829139176778
0001,classique_morceau1_duo_FlOb_theme2_stereo_Ob,duo,classique,Ob,0.048374604609434345
0001,classique_morceau1_trio_CoFlOb_theme1_stereo_Co,trio,classique,Co,-0.01460259204066895
0001,classique_morceau1_trio_CoFlOb_theme1_stereo_Ob,trio,classique,Ob,-0.03696712341786836
0001,classique_morceau1_trio_CoFlOb_theme2_stereo_Fl,trio,classique,Fl,0.057331513584837845
0001,classique_morceau2_duo_BoFh_theme1_stereo_Fh,duo,classique,Fh,-0.07036166023231656
0001,classique_morceau2_duo_BoFh_theme2_stereo_Bo,duo,classique,Bo,0.0017049287742748002
0001,classique_morceau2_duo_BoFl_theme1_stereo_Fl,duo,classique,Fl,0.021136604019823698
0001,classique_morceau2_duo_BoFl_theme2_stereo_Bo,duo,classique,Bo,0.04690065343106284
0001,classique_morceau2_duo_FhFl_theme2_stereo_Fh,duo,classique,Fh,0.03781758620098783
0001,classique_morceau2_duo_FhFl_theme2_stereo_Fl,duo,classique,Fl,-0.009605653879540104
0001,classique_morceau2_trio_BoFhFl_theme1_stereo_Bo,trio,classique,Bo,-0.014389443621468623
0001,classique_morceau2_trio_BoFhFl_theme1_stereo_Fh,trio,classique,Fh,-0.005710110027773701
0001,classique_morceau2_trio_BoFhFl_theme2_stereo_Fl,trio,classique,Fl,0.012339566224174483
0001,pop_falldead_duo_BsDr_theme1_stereo_Bs,duo,pop,Bs,0.06124343019627213
0001,pop_falldead_duo_BsDr_theme1_stereo_Dr,duo,pop,Dr,0.001633210928136308
0001,pop_falldead_duo_GtVx_theme1_stereo_Gt,duo,pop,Gt,0.11388916916012952
0001,pop_falldead_duo_GtVx_theme1_stereo_Vx,duo,pop,Vx,0.029851301502001427
